"LICENSE","DBA","LOCATION ADDRESS","COUNTY","PHONE","Location 1"
"RE02132","DEL MAR AL LAGO CEBICHERIA PERUANA","310 BUGATTI DR","SALT LAKE","801-467-2890","310 BUGATTI DR SALT LAKE CITY UT 84115 (40.72163980700003, -111.90039525999998)"
"RE02101","BUFFALO WILD WINGS (WEST VALLEY)","2911 S 5600 W","SALT LAKE","952-593-9943","2911 S 5600 W SALT LAKE CITY UT 84120 (40.707160402000056, -112.02486475599994)"
"RE02050","SABAKU","90 E CTR ST","GRAND","435-259-4455","90 E CTR ST MOAB UT 84532 (38.57324440800005, -109.54907674199995)"
"CL00529","CHEERS TO YOU","315 S MAIN","SALT LAKE","801-575-6400","315 S MAIN SALT LAKE CITY UT 84111 (40.76242416200006, -111.89094665799996)"
"PS00043","COMPASS AIRLINES","776 N TERMINAL DR TERMINAL 2","SALT LAKE","612-713-6944","776 N TERMINAL DR TERMINAL 2 SALT LAKE CITY UT 84116 (40.78350511600007, -111.98068121399996)"
"CL00904","PETE DYE GOLF CLUBHOUSE","8417 N RANCH CLUB TRAIL","SUMMIT","435-333-4219","8417 N RANCH CLUB TRAIL PARK CITY UT 84098 (40.74616744600007, -111.44677418799995)"
"RE01602","CAFE TRIO COTTONWOOD","6405 S 3000 E","SALT LAKE",,"6405 S 3000 E SALT LAKE CITY UT 84121 (40.63459084500005, -111.80591738399994)"
"RE00282","ANASAZI/KIVA @ BULLFROG RESORT","HWY 276 / PO BOX 4055","GARFIELD","435-684-3000","HWY 276 / PO BOX 4055 LAKE POWELL UT 84533 (37.81197778100005, -110.51222673599995)"
"TV00045","CIRCLE INN","2253 N MAIN","DAVIS","801-825-6093","2253 N MAIN CLEARFIELD UT 84015 (41.14647014800005, -112.02610691599995)"
"RB00088","ESCOBAR'S MEXICAN FOOD","373 E 300 S","KANE","435-644-3739","373 E 300 S KANAB UT 84741 (37.043027524000024, -112.52045079399994)"
"RE02014","CALLAWAY'S","54 N MAIN","CACHE","435-563-9179","54 N MAIN SMITHFIELD UT 84335 (41.83758987900006, -111.83262464299997)"
"RL00808","RED MAPLE CHINESE CUISINE","2882 W 4700 S","SALT LAKE","801-597-9982","2882 W 4700 S SALT LAKE CITY UT 84119 (40.66763026900003, -111.96114317799999)"
"CL00712","RED DOOR","57 W 200 S","SALT LAKE","801-363-6030","57 W 200 S SALT LAKE CITY UT 84101 (40.76498305600006, -111.89316009699996)"
"CL00096","LOGAN GOLF & COUNTRY CLUB","710 N 1500 E","CACHE","435-753-6020","710 N 1500 E LOGAN UT 84321 (41.74436946600008, -111.79676746599995)"
"RE00355","RUSTLER LODGE","10380 E HWY 210","SALT LAKE","801-532-2020","10380 E HWY 210 SANDY UT 84092 (40.570700861000034, -111.70864664099997)"
"BC00117","CEDAR BREAKS CLUB, INC","223 HUNTER RIDGE RD","IRON","435-677-3000","223 HUNTER RIDGE RD BRIAN HEAD UT 84719 (37.705469840000035, -112.85025457599994)"
"RL00429","CAFE GALLERIA","101 W MAIN ST","WASATCH","435-657-2002","101 W MAIN ST MIDWAY UT 84049 (40.51219316700008, -111.47467093099999)"
"RE02085","CAFE SABOR (GARDEN CITY)","21 E 75 N BLDG","RICH","435-752-8088","21 E 75 N BLDG GARDEN CITY UT 84028 (41.94789712900007, -111.39290476199994)"
"RE02191","GREEN RIVER GRILL","1050 S BLVD","DAGGETT","435-885-3191","1050 S BLVD DUTCH JOHN UT 84023 (40.932451626000045, -109.40511056699995)"
"CL00812","LESPRI CELLARS PRIME STEAK & SPIRITS","1765 SIDEWINDER DR","SUMMIT","435-645-9696","1765 SIDEWINDER DR PARK CITY UT 84060 (40.663403652000056, -111.49850357499997)"
"CL01027","BEERHIVE PUB","128 S MAIN ST","SALT LAKE","801-364-4268","128 S MAIN ST SALT LAKE CITY UT 84101 (40.76656311200003, -111.89119642699995)"
"RL00799","BRANDIN IRON STEAKHOUSE","939 E MAIN","WASHINGTON","435-574-0440","939 E MAIN CENTRAL UT 84722 (37.42576762200008, -113.62901649599996)"
"CL00461","ELKS 2420 (RICHFIELD)","1955 S COVE VIEW RD","SEVIER","435-896-4815","1955 S COVE VIEW RD RICHFIELD UT 84701 (38.74056961100007, -112.11082810599999)"
"RE02169","RUBY RIVER STEAKHOUSE (RIVERDALE)","4286 RIVERDALE RD","WEBER","385-223-5522","4286 RIVERDALE RD OGDEN UT 84405 (41.18502999800006, -111.98703448399999)"
"RL00553","ARELLA PIZZERIA","535 W 400 N","DAVIS","801-294-8800","535 W 400 N WOODS CROSS UT 84087 (40.89402348400006, -111.89290421999999)"
"CL00830","COPPER CANYON TAVERN @ THE RADDISON HOTEL","215 W S TEMPLE","SALT LAKE","801-531-7500","215 W S TEMPLE SALT LAKE CITY UT 84101 (40.769232671000054, -111.89743045299997)"
"RE00781","BENIHANA OF TOKYO","165 S WEST TEMPLE BLDG","SALT LAKE","305-593-0770","165 S WEST TEMPLE BLDG SALT LAKE CITY UT 84101 (40.76574010500008, -111.89392405999996)"
"RL00914","MARTIN'S GOURMET DELI & MARKET","815 E MOVIE RANCH DR","KANE",,"815 E MOVIE RANCH DR DUCK CREEK UT 84762 (37.520006446000025, -112.65617845499997)"
"CL01215","COPPER COMMON","111 E BROADWAY","SALT LAKE","801-355-0543","111 E BROADWAY SALT LAKE CITY UT 84111 (40.76293863300003, -111.88781565)"
"CL00852","ROYAL BAR","4760 S 900 EAST","SALT LAKE","801-590-9940","4760 S 900 EAST SALT LAKE CITY UT 84117 (40.66688700000003, -111.86501676599994)"
"RE02245","BAMBARA","202 S MAIN ST","SALT LAKE","800-805-1801","202 S MAIN ST SALT LAKE CITY UT 84101 (40.76475144700004, -111.89121734999998)"
"RL00892","NORTH CREEK GRILL","3680 W STATE HWY 12","GARFIELD","435-616-4999","3680 W STATE HWY 12 ESCALANTE UT 84726 (37.77041029800006, -111.60690811199999)"
"CL00194","CLUB 48","16 W 4800 SOUTH","SALT LAKE","801-262-7555","16 W 4800 SOUTH SALT LAKE CITY UT 84107 (40.666907741000045, -111.89174048599995)"
"RB00207","TONY'S TACOS","461 S MAIN ST","WASATCH","435-657-0219","461 S MAIN ST HEBER CITY UT 84032 (40.50189983300004, -111.41349398399996)"
"RE01152","BLUE IGUANA","165 S W TEMPLE","SALT LAKE","801-533-8900","165 S W TEMPLE SALT LAKE CITY UT 84101 (40.76574010500008, -111.89392405999996)"
"RE02291","THE BEST WOK","3770 W 5400 S","SALT LAKE","801-965-8000","3770 W 5400 S SALT LAKE CITY UT 84129 (40.65309764400007, -111.98093055499999)"
"RE02269","THE BRASS TAG","2900 DEER VALLEY DR E","SUMMIT","801-645-1000","2900 DEER VALLEY DR E PARK CITY UT 84060 (40.64330101000007, -111.47759843299997)"
"TV00028","SULTAN'S TAVERN","205 S MAIN","CACHE","435-753-2019","205 S MAIN LOGAN UT 84321 (41.72738150300006, -111.83513694599998)"
"RL00843","NOODLES & CO. (WEST VALLEY)","2682 S HIGH COMMONS","SALT LAKE",,"2682 S HIGH COMMONS SALT LAKE CITY UT 84120 (40.70958026200003, -112.02345652799994)"
"RL00149","PIE PIZZERIA (OGDEN)","1225 COUNTRY HILL RD","WEBER","801-363-0543","1225 COUNTRY HILL RD OGDEN UT 84403 (41.18618354100005, -111.94795455399998)"
"CL01222","JAM IN THE MARMALADE","751 N 300 WEST","SALT LAKE","801-598-2236","751 N 300 WEST SALT LAKE CITY UT 84103 (40.78606059500004, -111.89973732199996)"
"RE00937","OUTBACK STEAKHOUSE (OREM) #4512","372 E UNIVERSITY PARKWAY","UTAH","801-764-0552","372 E UNIVERSITY PARKWAY OREM UT 84058 (40.27332287000007, -111.68538154899994)"
"CL01264","CLUB WET","2706 S 1900 W","WEBER","801-393-2281","2706 S 1900 W OGDEN UT 84401 (41.21664065400006, -112.02568402899999)"
"RE01801","CHILI'S (CENTERVILLE) #1466","371 W PARRISH LN","DAVIS","801-397-3500","371 W PARRISH LN CENTERVILLE UT 84014 (40.921473297000034, -111.88490054099998)"
"RE02268","HANDLE","136 HEBER AVE #107","SUMMIT","435-962-0052","136 HEBER AVE #107 PARK CITY UT 84098 (40.64615391800004, -111.49771011899998)"
"RL00316","SIZZLER (REDWOOD RD) #142","3429 S REDWOOD RD","SALT LAKE","801-268-3400","3429 S REDWOOD RD SALT LAKE CITY UT 84119 (40.697930625000026, -111.93890453299997)"
"RL00120","ITALIAN VILLAGE","5370 S 900 EAST","SALT LAKE","801-266-4182","5370 S 900 EAST SALT LAKE CITY UT 84117 (40.65424070700004, -111.86597661699994)"
"CL01183","ALLEGED","2506 LINCOLN AVE","WEBER","801-990-0692","2506 LINCOLN AVE OGDEN UT 84401 (41.220572694000055, -111.97604025399994)"
"BE01757","NEEDLES DAY LODGE","3295 E SNOWBASIN RD","WEBER","801-620-1000","3295 E SNOWBASIN RD HUNTSVILLE UT 84317 (41.23283219100006, -111.82248838099997)"
"RE00881","APPLEBEE'S (LAYTON)","1622 N 1000 W","DAVIS","801-532-5108","1622 N 1000 W LAYTON UT 84041 (41.084129982000036, -111.98418568999995)"
"RE01548","SALSA LEEDOS - WEST","3956 W 13400 S","SALT LAKE","801-565-8818","3956 W 13400 S RIVERTON UT 84065 (40.507928218000075, -111.98486063399997)"
"RE02251","LEHI MARRIOTT COURTYARD HOTEL","2801 W CLUBHOUSE DR","UTAH","801-768-1174","2801 W CLUBHOUSE DR LEHI UT 84043 (40.43080746900006, -111.89946124199997)"
"CL01113","DAWG POUND TAVERN","3550 S STATE ST","SALT LAKE","801-261-2337","3550 S STATE ST SALT LAKE CITY UT 84115 (40.69407048100004, -111.88831705699994)"
"RL00780","ICHIBAN SUSHI ASIAN FOOD","578 W MAIN ST","UINTAH","801-809-5623","578 W MAIN ST VERNAL UT 84078 (40.45560806300006, -109.53940094699999)"
"BE02376","FAIRWAY CAFE @ MICK RILEY G.C.","421 E VINE ST","SALT LAKE","801-269-0347","421 E VINE ST SALT LAKE CITY UT 84107 (40.66093661700006, -111.87940761399994)"
"RE01837","ZUCCA","1479 E 5600 S UNIT 101A","WEBER","801-475-7077","1479 E 5600 S UNIT 101A OGDEN UT 84403 (41.162258148000035, -111.94223010099995)"
"CL01054","HIGH WEST DISTILLERY (PARK CITY)","703 PARK AVE","SUMMIT",,"703 PARK AVE PARK CITY UT 84098 (40.64684586200008, -111.49859012399997)"
"CL01203","TOTEMS CLUB","538 S REDWOOD RD","SALT LAKE","801-674-8878","538 S REDWOOD RD SALT LAKE CITY UT 84104 (40.75751050800005, -111.93906700399998)"
"RL00402","SAKURA TEPPANYAKI GRILL & SUSHI LOUNGE","171 W UNIVERSITY PKWY","UTAH","801-426-5588","171 W UNIVERSITY PKWY OREM UT 84058 (40.273072797000054, -111.699818731)"
"RE00721","LAYLA MEDITERRANEAN GRILL & MEZZE","4751 S HOLLADAY BLVD","SALT LAKE","801-272-9111","4751 S HOLLADAY BLVD SALT LAKE CITY UT 84117 (40.66643300100003, -111.82227978599997)"
"RB00284","THE PATIO GRILL","744 N BLUFF","WASHINGTON","435-673-5135","744 N BLUFF ST GEORGE UT 84770 (37.12085379000007, -113.59870080699994)"
"RB00210","WIN ON CHINESE BUFFET","1620 W HWY 40","UINTAH","435-789-0888","1620 W HWY 40 VERNAL UT 84078 (40.443724581000026, -109.55918908299998)"
"CL00764","BUTCHER'S CHOP HOUSE","751 MAIN","SUMMIT","435-647-0040","751 MAIN PARK CITY UT 84060 (40.647355695000044, -111.49814207799994)"
"BE02562","CANYONS SKI RESORT / SUNLODGE / RED PINE LODGE / TOMBSTONE GRILL / DREAMSCAPE GRILL / CLOUD DINE","4000 CANYONS RESORT DR","SUMMIT","435-615-8040","4000 CANYONS RESORT DR PARK CITY UT 84098 (40.684057186000075, -111.55369225999999)"
"TV00103","WHITE OWL","36 W CENTER","CACHE","435-753-9165","36 W CENTER LOGAN UT 84321 (41.73140381500008, -111.83593419399995)"
"RE01611","RED IGUANA","736 W N TEMPLE","SALT LAKE","801-322-1489","736 W N TEMPLE SALT LAKE CITY UT 84116 (40.77162826500006, -111.91246081699995)"
"BE00543","GOLDEN SPIKE ARENA","1000 N 1200 WEST","WEBER","801-392-1995","1000 N 1200 WEST OGDEN UT 84404 (41.27593185400008, -112.00851016999997)"
"RL00545","THE BUFFALO GRILL","9065 W HWY 9","KANE","435-648-2555","9065 W HWY 9 MT CARMEL UT 84755 (37.224793075000036, -112.68313683999997)"
"RL00794","PHO THIN","2121 S MCCLELLAND ST","SALT LAKE","801-979-4085","2121 S MCCLELLAND ST SALT LAKE CITY UT 84106 (40.72499412600007, -111.86129540299999)"
"CL00994","DONKEY TAILS CANTINA","136 E 12300 SOUTH","SALT LAKE","801-571-3838","136 E 12300 SOUTH DRAPER UT 84020 (40.52673265800007, -111.88696082099995)"
"CL01223","ANNEX BY EPIC BREWING COMPANY","1048 E 2100 S","SALT LAKE","801-906-0123","1048 E 2100 S SALT LAKE CITY UT 84106 (40.72526968000005, -111.86080571199994)"
"RE00143","RIO GRANDE CAFE","270 RIO GRANDE ST","SALT LAKE","801-364-3302","270 RIO GRANDE ST SALT LAKE CITY UT 84101 (40.76346551600005, -111.90413332799994)"
"RE01236","APPLEBEE'S (ST. GEORGE)","150 S RIVER RD","WASHINGTON","801-532-5108","150 S RIVER RD ST GEORGE UT 84770 (37.10553449300005, -113.55567702499997)"
"RE02253","MILLCREEK GRILL & BAR","3300 S 2020 E","SALT LAKE","801-484-0339","3300 S 2020 E SALT LAKE CITY UT 84109 (40.70412641200005, -111.81487676499995)"
"RE00092","LA COCINA #2 (COTTONWOOD)","6965 S 2300 EAST","SALT LAKE","801-943-7790","6965 S 2300 EAST SALT LAKE CITY UT 84121 (40.62465011000006, -111.82472492799997)"
"RB00281","RIVER ROCK ROASTING CO","394 S STATE ST","WASHINGTON","435-635-7625","394 S STATE ST LA VERKIN UT 84745 (37.19467472500003, -113.27570008299995)"
"CL00172","CISERO'S NIGHTCLUB","306 MAIN","SUMMIT","435-649-6800","306 MAIN PARK CITY UT 84060 (40.64207722000003, -111.49493150199999)"
"RB00202","T-BONE","1695 S STATE ST","UTAH","801-489-7920","1695 S STATE ST SPRINGVILLE UT 84663 (40.14378677700006, -111.61144562999999)"
"BC00182","ALL-STAR CATERING-MILLER MOTORSPORTS PARK","2901 N SHEEP LN","TOOELE","801-325-2000","2901 N SHEEP LN TOOELE UT 84074 (40.580859952000026, -112.36911082799998)"
"RL00902","MIRROR LAKE DINER","35 S MAIN STREET","SUMMIT","435-783-0110","35 S MAIN STREET KAMAS UT 84036 (40.64249089000003, -111.28074420599995)"
"RE01820","TEXAS ROADHOUSE (WEST BOUNTIFUL)","365 N 500 W","DAVIS","502-426-9984","365 N 500 W WOODS CROSS UT 84087 (40.89304231600005, -111.89227466999995)"
"RL00174","OTHER PLACE","469 E 300 SOUTH","SALT LAKE","801-521-6567","469 E 300 SOUTH SALT LAKE CITY UT 84111 (40.76286299800006, -111.87752570599997)"
"RE00596","RICARDO'S @ GREENWELL INN, PRICE","655 E MAIN","CARBON","435-637-2020","655 E MAIN PRICE UT 84501 (39.59957104100005, -110.79876196499998)"
"RE00671","SILVER FORK LODGE","11332 E BIG COTTONWOOD CYN RD","SALT LAKE","801-533-9977","11332 E BIG COTTONWOOD CYN RD SALT LAKE CITY UT 84121 (40.63330061500005, -111.61124630999996)"
"CL00676","SPUR, THE","352 MAIN ST","SUMMIT","435-615-1618","352 MAIN ST PARK CITY UT 84060 (40.64280661500004, -111.49533134299998)"
"RL00833","SMASHBURGER (MIDVALE)","7020 UNION PARK CTR","SALT LAKE","801-989-5552","7020 UNION PARK CTR MIDVALE UT 84047 (40.622859995000056, -111.85888905999997)"
"RB00127","LONE STAR TAQUERIA","2265 E FORT UNION BLVD","SALT LAKE","801-944-2300","2265 E FORT UNION BLVD SALT LAKE CITY UT 84121 (40.624017508000065, -111.82573086999997)"
"RE02188","MIMIS CAFE' (MURRAY) #73","5223 S STATE ST","SALT LAKE","801-261-0266","5223 S STATE ST SALT LAKE CITY UT 84107 (40.65758402800003, -111.888276728)"
"RL00564","DEMAE JAPENESE RESTAURANT","82 W CTR","UTAH","801-374-0306","82 W CTR PROVO UT 84601 (40.23382838300006, -111.66010072899996)"
"RL00603","THE MED","420 E 3300 SOUTH","SALT LAKE",,"420 E 3300 SOUTH SALT LAKE CITY UT 84115 (40.69982267100005, -111.87952053699996)"
"BC00139","RAIL CENTER","235 N 500 W","SALT LAKE","801-575-8400","235 N 500 W SALT LAKE CITY UT 84116 (40.774540081000055, -111.90550679699999)"
"RE01937","CORAL CANYON RESTAURANT","1925 N CYN GREENS DR","WASHINGTON","435-688-1700","1925 N CYN GREENS DR WASHINGTON UT 84780 (37.15739928700003, -113.44752430199998)"
"RE02074","SNOWPINE LODGE","LITTLE COTTONWOOD CYN","SALT LAKE","801-742-2000","LITTLE COTTONWOOD CYN SANDY UT 84092 (40.57303833200007, -111.70035788599995)"
"CL00174","SPENCER'S @ HILTON SALT LAKE CITY CENTER","255 S WEST TEMPLE","SALT LAKE","801-238-4748","255 S WEST TEMPLE SALT LAKE CITY UT 84101 (40.76414073800004, -111.89393442999994)"
"RE02283","CURRENT RESTAURANT","279 E BROADWAY","SALT LAKE","801-328-2492","279 E BROADWAY SALT LAKE CITY UT 84111 (40.76292921400005, -111.88311481399995)"
"CL01182","BONNEVILLE BREWERY RESTAURANT & PUB","1641 N MAIN ST","TOOELE","435-248-0646","1641 N MAIN ST TOOELE UT 84074 (40.56052874200003, -112.29663240999997)"
"CL00626","WELLS CLUB","145 E MAIN","DUCHESNE","435-738-9693","145 E MAIN DUCHESNE UT 84021 (40.16339726800004, -110.39888367999998)"
"RL00516","FORAGE","370 E 900 SOUTH","SALT LAKE","801-708-7834","370 E 900 SOUTH SALT LAKE CITY UT 84111 (40.749762565000026, -111.88034096199999)"
"CL00541","AREA 51","348 W 500 SOUTH","SALT LAKE","801-534-0819","348 W 500 SOUTH SALT LAKE CITY UT 84101 (40.758519128000046, -111.90121454299998)"
"BE00839","UTAH FOOD SERVICES @ SALT PALACE CONVENTION CTR","100 S W TEMPLE","SALT LAKE","801-531-0226","100 S W TEMPLE SALT LAKE CITY UT 84101 (40.76708191600005, -111.89398397099995)"
"RL00878","ICHIBAN SUSHI & ASIAN CUISINE","109 W 9000 S","SALT LAKE","801-809-7686","109 W 9000 S SANDY UT 84070 (40.588046345000066, -111.89470117999997)"
"BC00067","HAMPTON INN AND SUITES","307 N ADMIRAL BYRD DR","SALT LAKE","801-530-0088","307 N ADMIRAL BYRD DR SALT LAKE CITY UT 84116 (40.774780908000025, -112.02227673099998)"
"RB00163","PIZZA BARN","595 W 200 SOUTH","IRON","435-477-8240","595 W 200 SOUTH PAROWAN UT 84761 (37.83873342700008, -112.83944964399996)"
"CL00116","OGDEN GOLF & COUNTRY CLUB","4197 WASHINGTON BLVD","WEBER","801-621-2060","4197 WASHINGTON BLVD OGDEN UT 84403 (41.18707144800004, -111.97128259099998)"
"RE02274","DRY CREEK STEAKHOUSE","10290 S STATE","SALT LAKE","801-244-8191","10290 S STATE SANDY UT 84070 (40.564141488000075, -111.89096615199998)"
"CL00552","BLIND DOG GRILL","1251 KEARNS BLVD","SUMMIT","435-655-0800","1251 KEARNS BLVD PARK CITY UT 84060 (40.66155308800006, -111.50412671099997)"
"RB00139","MEXICAN HAT LODGE","MAIN ST HWY 163","SAN JUAN","435-683-2222","MAIN ST HWY 163 MEXICAN HAT UT 84531 (37.164306916000044, -109.85973725999997)"
"RL00899","HIMALAYAN SPICE HOUSE","5530 W 13400 S","SALT LAKE","903-253-5669","5530 W 13400 S SOUTH JORDAN UT 84095 (40.55907709300004, -111.95522913199994)"
"RE00349","ALTA LODGE","ALTA LODGE","SALT LAKE","801-742-3500","ALTA LODGE SANDY UT 84092 (40.55808643200004, -111.82957591799999)"
"RL00061","ROYAL INDIA","10263 S 1300 EAST","SALT LAKE","801-572-6123","10263 S 1300 EAST SANDY UT 84094 (40.56526089400006, -111.85309573499995)"
"RL00498","OLIVE BISTRO","57 W 200 S","SALT LAKE","801-864-3894","57 W 200 S SALT LAKE CITY UT 84101 (40.76498305600006, -111.89316009699996)"
"RL00846","E JO SALT LAKE RESTAURANT","3250 S 700 E","SALT LAKE","801-474-0047","3250 S 700 E SALT LAKE CITY UT 84106 (40.70009115300007, -111.87137620899995)"
"BC00124","DAVIS CONFERENCE CENTER","1651 N 700 W","DAVIS","801-416-8888","1651 N 700 W LAYTON UT 84041 (41.08509846700008, -111.97958699499998)"
"CL00978","MAXWELL'S @ NEW PARK HOTEL","1456 NEW PARK BLVD","SUMMIT","435-647-0304","1456 NEW PARK BLVD PARK CITY UT 84098 (40.72178982600008, -111.53930555099998)"
"RB00082","EL MEXSAL","325 S 200 W","UTAH","801-375-3468","325 S 200 W PROVO UT 84601 (40.22932663700004, -111.66219158999996)"
"BC00011","UTAH FOOD SERVICES @ SALT PALACE CONVENTION CTR","100 S W TEMPLE","SALT LAKE","801-531-0226","100 S W TEMPLE SALT LAKE CITY UT 84101 (40.76708191600005, -111.89398397099995)"
"RE01821","PLAYERS SPORTS GRILL","1688 CONVENTION CTR DR","WASHINGTON",,"1688 CONVENTION CTR DR ST GEORGE UT 84790 (37.07909509700005, -113.58326023099994)"
"RL00841","HUHOT MONGOLIAN GRILL (SANDY)","10835 S STATE ST","SALT LAKE","406-926-2104","10835 S STATE ST SANDY UT 84094 (40.554570743000056, -111.89075932199995)"
"BE02212","FAT CATS OF OGDEN","2261 KIESEL AVE","WEBER","435-867-0945","2261 KIESEL AVE OGDEN UT 84401 (41.225367007000045, -111.97142397199997)"
"PS00014","HORIZON AIR","SLC INT'L AIRPORT","SALT LAKE","206-392-5831","SLC INT'L AIRPORT SALT LAKE CITY UT 84122 (40.776818354000056, -111.97948729799998)"
"RL00658","BLACK BEAR DINER","1245 S MAIN ST","WASHINGTON","435-656-2327","1245 S MAIN ST ST GEORGE UT 84770 (37.087005512000076, -113.58411752899997)"
"RE01523","LUPITA'S MEXICAN FOOD","2052 W CROSS HOLLOW RD","IRON","435-867-0945","2052 W CROSS HOLLOW RD CEDAR CITY UT 84720 (37.65586630300004, -113.08774909099998)"
"BE02573","PELICAN ON THE GREEN","1155 CLUBHOUSE DR","DUCHESNE","435-722-1901","1155 CLUBHOUSE DR ROOSEVELT UT 84066 (40.30900613600005, -110.01347162699994)"
"BE02553","SOLDIER HOLLOW GRILL","1370 W SOLDIER HOLLOW DR","WASATCH","435-654-9112","1370 W SOLDIER HOLLOW DR MIDWAY UT 84049 (40.483564810000075, -111.48362547299996)"
"RE02267","RED ROBIN AMERICA'S GOURMET BURGERS & SPIRITS (WASHINGTON)","640 W TELEGRAPH","WASHINGTON","303-846-6113","640 W TELEGRAPH WASHINGTON UT 84780 (37.12852799800004, -113.51994416999997)"
"CL00555","SALT CREEK SPORTS LOUNGE","22 N SHEEP LN DR","JUAB","435-623-9999","22 N SHEEP LN DR NEPHI UT 84648 (39.675326160000054, -111.84250069999996)"
"BC00148","HYATT PLACE","55 N 400 W","SALT LAKE","801-456-6300","55 N 400 W SALT LAKE CITY UT 84101 (40.76065278100003, -111.89299071199997)"
"CL01138","DEVIL'S DAUGHTER","533 S 500 W","SALT LAKE","801-532-1610","533 S 500 W SALT LAKE CITY UT 84101 (40.75747133100003, -111.90524407599997)"
"RE02027","RIVERHORSE","540 MAIN","SUMMIT","435-649-3536","540 MAIN PARK CITY UT 84060 (40.64484764600007, -111.49648999299995)"
"RE01452","MAIN STREET PIZZA & NOODLE","530 MAIN ST","SUMMIT","435-645-8878","530 MAIN ST PARK CITY UT 84060 (40.644719777000034, -111.49641592299997)"
"RL00581","TASTY THAI","1302 S 500 E","SALT LAKE","801-467-4070","1302 S 500 E SALT LAKE CITY UT 84105 (40.74151263700003, -111.87678540699994)"
"TV00051","DEAD DOG SALOON","457 W MAIN","TOOELE","435-884-6594","457 W MAIN GRANTSVILLE UT 84029 (40.59996362500004, -112.47931087699999)"
"RE01901","EBENEZER'S BARN & GRILL","110 E CTR ST","GARFIELD","435-834-8028","110 E CTR ST BRYCE UT 84764 (37.672944725000036, -112.15397707299996)"
"CL01048","DESERT EDGE BREWERY AT THE PUB","273 TROLLEY SQ","SALT LAKE","801-521-8917","273 TROLLEY SQ SALT LAKE CITY UT 84102 (40.757402812000066, -111.87106671099997)"
"RL00144","HUNAN GARDEN","2121 E 2100 SOUTH","SALT LAKE","801-486-8088","2121 E 2100 SOUTH SALT LAKE CITY UT 84109 (40.72551161600006, -111.83021286199994)"
"RE01688","TEXAS ROADHOUSE (SANDY)","200 W 10600 S","SALT LAKE","502-426-9984","200 W 10600 S SANDY UT 84070 (40.55898170200004, -111.89565540899997)"
"RE02163","LA FRONTERA (ROY)","5390 S 1900 W","WEBER","801-825-1874","5390 S 1900 W ROY UT 84067 (41.16550008300004, -112.02600436299997)"
"BC00032","RED LION SALT LAKE HOTEL","161 W 600 SOUTH","SALT LAKE","801-521-7373","161 W 600 SOUTH SALT LAKE CITY UT 84101 (40.76555113100005, -111.90820428799998)"
"RE01604","COPPER CANYON GRILL HOUSE @ THE RADISSON HOTEL","215 W S TEMPLE","SALT LAKE","801-521-7800","215 W S TEMPLE SALT LAKE CITY UT 84101 (40.769232671000054, -111.89743045299997)"
"RE00420","RUSTIC CREEK GRILLE","2346 PARK AVE","SUMMIT","435-604-4001","2346 PARK AVE PARK CITY UT 84060 (40.667026426000064, -111.51482103799998)"
"CL01056","HOTEL BAR & NIGHTCLUB / CLUB ELEVATE","155 W 200 S","SALT LAKE","801-478-4310","155 W 200 S SALT LAKE CITY UT 84101 (40.76498305600006, -111.89585067499996)"
"RE01745","TIN ANGEL","365 W 400 S","SALT LAKE","801-328-4155","365 W 400 S SALT LAKE CITY UT 84101 (40.76063319200006, -111.90175035799996)"
"PS00044","ALASKA AIRLINES","19300 INTERNATIONAL BLVD","N/A","206-392-5213","19300 INTERNATIONAL BLVD SEATTLE WA 98168 (47.42923519200008, -122.295397074)"
"RE01420","PRIMO","4699 S HIGHLAND DRIVE","SALT LAKE","801-947-0024","4699 S HIGHLAND DRIVE SALT LAKE CITY UT 84117 (40.66800010400004, -111.83957668799997)"
"RE00892","ZOOM ROADHOUSE GRILL","660 MAIN ST","SUMMIT","435-649-9108","660 MAIN ST PARK CITY UT 84060 (40.646524930000055, -111.49742095999994)"
"RL00689","KATHMANDU #2","212 S 700 E STE C","SALT LAKE","801-355-0454","212 S 700 E STE C SALT LAKE CITY UT 84102 (40.764623278000045, -111.87110233199996)"
"RL00805","THAI CAFE ON 2ND","212 E 500 S","SALT LAKE","801-243-2249","212 E 500 S SALT LAKE CITY UT 84111 (40.75845631200008, -111.88492485999996)"
"CL01112","ROCK BOTTOM LOUNGE","317 WASHINGTON BLVD","WEBER","801-621-2070","317 WASHINGTON BLVD OGDEN UT 84404 (41.25768147600007, -111.96970732999995)"
"RL00769","TONYS' GRILL AND SUSHI BAR","22 N MAIN ST","DAVIS","801-513-5148","22 N MAIN ST LAYTON UT 84041 (41.06051357200005, -111.96647616599995)"
"CL00470","ELKS 1556 (CEDAR CITY)","111 E 200 N","IRON","435-586-8332","111 E 200 N CEDAR CITY UT 84720 (37.68094205700004, -113.05986253799995)"
"RL00227","TEPANYAKI (WEST JORDAN)","7233 S PLAZA CTR DR","SALT LAKE","801-282-9700","7233 S PLAZA CTR DR WEST JORDAN UT 84084 (40.619760979000034, -111.97927472599997)"
"RL00905","SOLE MIO","8657 S HIGHLAND DR","SALT LAKE","801-942-2623","8657 S HIGHLAND DR SANDY UT 84093 (40.59388529300003, -111.83219896599996)"
